"true_a_rew","true_a_pun","true_K","true_theta","true_omega_f","true_omega_p","infer_a_rew","infer_a_pun","infer_K","infer_theta","infer_omega_f","infer_omega_p"
0.7723430426,0.974202948,0.4534147606,0.3797395428,0.1422158631,0.2682622064,0.123496236531493,0.114808797500738,1.08839137962435,0.408689130102649,-0.572863666787201,0.513686324801039
0.8538051828,0.5187070149,0.8884002919,0.2338182042,0.4796553028,0.6558086993,0.503582955038099,0.138798903183389,1.52124472440856,0.369513851623394,-0.941029217202024,0.20557441368295
0.0315313683,0.1122839721,4.1901680519,4.3132236389,0.3327435727,0.1085188236,0.352955380951352,0.879973131174415,1.83897881104128,0.426243110245371,0.639651173409344,-0.545745638524505
0.9580757366,0.3748447744,3.9201643631,3.329634203,0.1543860187,0.2420573762,0.389122674043763,0.26943320948222,2.23259274885604,1.97599069285614,1.10527690800183,-0.199972411443291
0.9706713159,0.7458527094,3.2325836838,3.1665275879,0.9827441715,0.8737659371,0.835411149507312,0.747227345693415,0.666391233852593,2.67028538490688,1.59202717185673,1.08090098796181
0.7411915886,0.5889769043,4.5550884294,1.047458892,0.1139798542,0.3082337454,0.849700183500282,0.398802769528256,2.33037172690523,0.325149686023705,-0.605237768120537,2.33082711932966
0.9572308158,0.1268107021,4.2781946517,3.7321605842,0.7807299462,0.6293208296,0.860136066440912,0.121546856534992,1.72283386093505,1.03025597080491,0.910599867638392,1.35756562228461
0.5900663584,0.4609602134,2.8396696915,1.1466533378,0.1003217913,0.2060601237,0.0881338488303849,0.815634288715036,0.996191406790985,0.288099251489434,-0.211807648844708,-0.81423209315831
0.5236880666,0.881469804,1.5983728282,3.1794064999,0.5770111034,0.3151174997,0.826831094118576,0.829120705805267,1.14477847489191,2.04462070379347,2.4620391098242,2.67977238481514
0.5281768242,0.101929415,4.2012518352,0.0719738511,0.8641269028,0.6640288571,0.15286579200496,0.776543111764978,2.65647766199234,0.255886710549465,1.04433581850186,-0.249985848218717
